file,null,alt,df,lrt,pval,note
OG0013300,bsA1,bsA,1,0.6810799999984738,0.4092150779486843,
OG0013667,bsA1,bsA,1,0.0,1.0,
OG0009439,bsA1,bsA,1,0.039342000000033295,0.8427726592402961,
OG0013405,bsA1,bsA,1,5.726445999999669,0.01671126963749625,
OG0010976,bsA1,bsA,1,63.74726399999963,1.4432899320127035e-15,
OG0005747,bsA1,bsA,1,13.638421999999991,0.00022160360342704521,
OG0005355,bsA1,bsA,1,1.99999976757681e-06,0.998871621274596,
OG0013853,bsA1,bsA,1,0.0,1.0,
OG0010136,bsA1,bsA,1,3.8308539999998175,0.05031728923674028,
OG0011610,bsA1,bsA,1,138.88703800000076,0.0,
OG0007747,bsA1,bsA,1,0.0,1.0,
OG0006194,bsA1,bsA,1,14.208411999999953,0.00016363735582336503,
OG0011536,bsA1,bsA,1,,,lnl1 < lnl0
OG0009970,bsA1,bsA,1,0.0,1.0,
OG0005533,bsA1,bsA,1,1.99999976757681e-06,0.998871621274596,
OG0008029,bsA1,bsA,1,468.7337320000006,0.0,
OG0011949,bsA1,bsA,1,2.232797999999093,0.13510898246787384,
OG0005453,bsA1,bsA,1,1.199185999999827,0.2734844313713005,
OG0012960,bsA1,bsA,1,0.08249400000022433,0.7739456439772093,
OG0005499,bsA1,bsA,1,0.0,1.0,
OG0012460,bsA1,bsA,1,0.0,1.0,
OG0010453,bsA1,bsA,1,16.65411600000016,4.485287622424394e-05,
OG0007128,bsA1,bsA,1,0.0006339999999909196,0.9799119027635824,
OG0010961,bsA1,bsA,1,42.45438800000193,7.234990384574758e-11,
OG0006238,bsA1,bsA,1,20.13224799999989,7.226786481462355e-06,
OG0008722,bsA1,bsA,1,2.4945559999996476,0.11424059005168519,
OG0011592,bsA1,bsA,1,0.1993959999999788,0.6552088197226557,
OG0012255,bsA1,bsA,1,0.0,1.0,
OG0011440,bsA1,bsA,1,19.410314000000653,1.0543610359459166e-05,
OG0012831,bsA1,bsA,1,0.0,1.0,
OG0005544,bsA1,bsA,1,7.831376000000091,0.005134699617153737,
OG0006113,bsA1,bsA,1,117.68436000000293,0.0,
OG0014044,bsA1,bsA,1,184.45326399999976,0.0,
OG0011481,bsA1,bsA,1,56.36939999999959,6.006306563222097e-14,
OG0008863,bsA1,bsA,1,0.0,1.0,
OG0010657,bsA1,bsA,1,8.93985800000064,0.002790144099448555,
OG0006729,bsA1,bsA,1,,,lnl1 < lnl0
OG0009406,bsA1,bsA,1,,,lnl1 < lnl0
OG0013255,bsA1,bsA,1,86.17853600000035,0.0,
