Orthogroup	Duplications (all)	Duplications (50% support)
OG0000903	11	9
OG0000904	6	3
OG0000905	6	1
OG0000906	7	4
OG0000907	4	2
OG0000908	3	2
OG0000909	1	1
OG0000910	3	2
OG0000911	2	2
OG0000912	5	5
OG0000913	1	0
OG0000914	4	1
OG0000915	4	2
OG0000916	1	1
OG0000917	5	3
OG0000918	6	6
OG0000919	4	3
OG0000920	3	2
OG0000921	5	3
OG0000922	3	3
OG0000923	6	6
OG0000924	5	4
OG0000925	5	3
OG0000926	4	3
OG0000927	4	3
OG0000928	3	1
OG0000929	3	2
OG0000930	6	2
OG0000931	1	0
OG0000932	5	2
OG0000933	3	3
OG0000934	3	3
OG0000935	2	2
OG0000936	4	1
OG0000937	5	0
OG0000938	2	1
OG0000939	4	0
OG0000940	3	1
OG0000941	5	3
OG0000942	4	3
OG0000943	5	2
OG0000944	4	2
OG0000945	5	2
OG0000946	3	2
OG0000947	6	6
OG0000948	2	2
OG0000949	6	6
OG0000950	1	1
OG0000951	1	0
OG0000952	2	2
OG0000953	6	6
OG0000954	4	2
OG0000955	4	3
OG0000956	4	2
OG0000957	3	3
OG0000958	5	3
OG0000959	5	4
OG0000960	4	2
OG0000961	3	3
OG0000962	2	0
OG0000963	6	2
OG0000964	2	2
OG0000965	4	2
OG0000966	3	3
OG0000967	1	1
OG0000968	2	0
OG0000969	3	3
OG0000970	4	2
OG0000971	6	3
OG0000972	2	1
OG0000973	6	3
OG0000974	3	2
OG0000975	3	3
OG0000976	2	2
OG0000977	6	5
OG0000978	5	5
OG0000979	2	1
OG0000980	5	3
OG0000981	4	3
OG0000982	3	1
OG0000983	4	3
OG0000984	6	2
OG0000985	1	1
OG0000986	5	4
OG0000987	4	3
OG0000988	4	2
OG0000989	4	3
OG0000990	5	1
OG0000991	4	1
OG0000992	6	5
OG0000993	6	5
OG0000994	2	2
OG0000995	11	8
OG0000996	3	3
OG0000997	4	3
OG0000998	9	9
OG0000999	8	6
OG0001000	8	8
OG0001001	7	6
OG0001002	6	4
OG0001003	8	6
OG0001004	7	7
OG0001005	9	7
OG0001006	4	2
OG0001007	3	2
OG0001008	4	4
OG0001009	5	4
OG0001010	4	2
OG0001011	4	3
OG0001012	4	2
OG0001013	4	2
OG0001014	1	1
OG0001015	5	3
OG0001016	4	2
OG0001017	3	3
OG0001018	2	1
OG0001019	6	5
OG0001020	1	1
OG0001021	2	2
OG0001022	1	0
OG0001023	1	1
OG0001024	2	2
OG0001025	1	0
OG0001026	4	1
OG0001027	7	6
OG0001028	1	0
OG0001029	5	4
OG0001030	5	5
OG0001031	5	3
OG0001032	3	0
OG0001033	5	4
OG0001034	0	0
OG0001035	1	1
OG0001036	3	2
OG0001037	2	1
OG0001038	5	5
OG0001039	4	3
OG0001040	1	1
OG0001041	3	1
OG0001042	5	3
OG0001043	1	1
OG0001044	4	3
OG0001045	4	3
OG0001046	4	1
OG0001047	5	3
OG0001048	4	2
OG0001049	2	1
OG0001050	1	0
OG0001051	6	4
OG0001052	4	2
OG0001053	5	5
OG0001054	4	3
OG0001055	6	6
OG0001056	1	0
OG0001057	2	0
OG0001058	6	6
OG0001059	4	3
OG0001060	3	2
OG0001061	7	6
OG0001062	3	2
OG0001063	5	5
OG0001064	5	5
OG0001065	4	0
OG0001066	5	0
OG0001067	4	3
OG0001068	1	0
OG0001069	2	2
OG0001070	5	5
OG0001071	1	1
OG0001072	5	5
OG0001073	4	1
OG0001074	2	1
OG0001075	1	1
OG0001076	3	0
OG0001077	3	2
OG0001078	3	2
OG0001079	5	5
OG0001080	4	2
OG0001081	4	1
OG0001082	1	0
OG0001083	3	1
OG0001084	3	2
OG0001085	1	1
OG0001086	5	4
OG0001087	4	1
OG0001088	5	5
OG0001089	3	1
OG0001090	5	4
OG0001091	2	1
OG0001092	5	5
OG0001093	2	1
OG0001094	1	0
OG0001095	4	2
OG0001096	4	4
OG0001097	3	2
OG0001098	2	1
OG0001099	5	5
OG0001100	7	7
OG0001101	5	4
OG0001102	2	1
OG0001103	5	5
OG0001104	3	3
OG0001105	4	1
OG0001106	3	2
OG0001107	6	3
OG0001108	3	0
OG0001109	5	3
OG0001110	4	3
OG0001111	4	2
OG0001112	4	1
OG0001113	3	1
OG0001114	2	2
OG0001115	3	0
OG0001116	1	0
OG0001117	2	1
OG0001118	1	0
OG0001119	5	4
OG0001120	4	4
OG0001121	3	1
OG0001122	3	2
OG0001123	3	1
OG0001124	5	5
OG0001125	6	3
OG0001126	4	3
OG0001127	4	2
OG0001128	4	3
OG0001129	3	0
OG0001130	3	1
OG0001131	6	3
OG0001132	4	3
OG0001133	2	0
OG0001134	5	5
OG0001135	3	0
OG0001136	4	2
OG0001137	4	3
OG0001138	1	0
OG0001139	2	1
OG0001140	1	1
OG0001141	3	0
OG0001142	5	5
OG0001143	10	9
OG0001144	5	5
OG0001145	5	3
OG0001146	4	4
OG0001147	4	3
OG0001148	9	8
OG0001149	9	4
OG0001150	8	3
OG0001151	8	5
OG0001152	2	2
OG0001153	4	2
OG0001154	5	4
OG0001155	4	4
OG0001156	11	9
OG0001157	8	5
OG0001158	7	5
OG0001159	4	2
OG0001160	6	5
OG0001161	11	10
OG0001162	10	10
OG0001163	2	2
OG0001164	8	6
OG0001165	8	8
OG0001166	12	6
OG0001167	17	17
OG0001168	4	4
OG0001169	5	4
OG0001170	4	4
OG0001171	2	0
OG0001172	3	2
OG0001173	4	2
OG0001174	2	2
OG0001175	4	1
OG0001176	4	3
OG0001177	3	1
OG0001178	1	0
OG0001179	3	2
OG0001180	4	3
OG0001181	4	0
OG0001182	4	4
OG0001183	2	1
OG0001184	2	1
OG0001185	2	0
OG0001186	3	2
OG0001187	2	1
OG0001188	2	1
OG0001189	1	0
OG0001190	4	3
OG0001191	4	3
OG0001192	2	2
OG0001193	4	3
OG0001194	4	4
OG0001195	4	4
OG0001196	4	3
OG0001197	4	4
OG0001198	4	3
OG0001199	3	0
OG0001200	2	2
OG0001201	2	0
OG0001202	4	3
OG0001203	5	5
OG0001204	2	0
OG0001205	1	0
OG0001206	4	4
OG0001207	3	2
OG0001208	3	2
OG0001209	1	0
OG0001210	3	1
OG0001211	3	2
OG0001212	4	2
OG0001213	4	2
OG0001214	3	2
OG0001215	4	4
OG0001216	4	2
OG0001217	4	2
OG0001218	3	2
OG0001219	1	0
OG0001220	4	2
OG0001221	9	7
OG0001222	3	1
OG0001223	2	1
OG0001224	3	1
OG0001225	4	4
OG0001226	1	0
OG0001227	1	1
OG0001228	4	4
OG0001229	4	4
OG0001230	3	2
OG0001231	3	3
OG0001232	4	0
OG0001233	1	0
OG0001234	1	0
OG0001235	3	2
OG0001236	1	0
OG0001237	2	0
OG0001238	3	0
OG0001239	1	0
OG0001240	4	0
OG0001241	4	4
OG0001242	2	2
OG0001243	1	1
OG0001244	4	4
OG0001245	2	1
OG0001246	2	2
OG0001247	4	3
OG0001248	4	4
OG0001249	3	1
OG0001250	4	3
OG0001251	4	2
OG0001252	3	0
OG0001253	4	4
OG0001254	4	3
OG0001255	1	0
OG0001256	3	2
OG0001257	4	4
OG0001258	3	2
OG0001259	3	2
OG0001260	1	0
OG0001261	2	2
OG0001262	3	1
OG0001263	3	2
OG0001264	3	2
OG0001265	1	0
OG0001266	4	0
OG0001267	3	2
OG0001268	5	4
OG0001269	4	1
OG0001270	4	3
OG0001271	1	0
OG0001272	3	1
OG0001273	2	1
OG0001274	2	2
OG0001275	2	0
OG0001276	4	3
OG0001277	2	2
OG0001278	4	4
OG0001279	4	1
OG0001280	4	4
OG0001281	2	2
OG0001282	3	1
OG0001283	4	4
OG0001284	1	1
OG0001285	5	5
OG0001286	3	2
OG0001287	2	0
OG0001288	1	0
OG0001289	5	4
OG0001290	3	1
OG0001291	4	4
OG0001292	4	1
OG0001293	4	2
OG0001294	2	0
OG0001295	4	2
OG0001296	2	2
OG0001297	2	1
OG0001298	3	2
OG0001299	1	0
OG0001300	3	2
OG0001301	4	2
OG0001302	3	1
OG0001303	4	3
OG0001304	4	3
OG0001305	4	3
OG0001306	1	0
OG0001307	3	2
OG0001308	4	4
OG0001309	3	1
OG0001310	3	3
OG0001311	4	3
OG0001312	3	1
OG0001313	4	2
OG0001314	4	4
OG0001315	3	1
OG0001316	2	2
OG0001317	1	1
OG0001318	3	3
OG0001319	1	0
OG0001320	4	3
OG0001321	3	2
OG0001322	4	3
OG0001323	2	2
OG0001324	1	0
OG0001325	1	0
OG0001326	3	1
OG0001327	1	0
OG0001328	4	2
OG0001329	3	3
OG0001330	5	3
OG0001331	4	2
OG0001332	4	3
OG0001333	1	1
OG0001334	4	4
OG0001335	3	1
OG0001336	1	0
OG0001337	3	2
OG0001338	2	1
OG0001339	1	1
OG0001340	1	0
OG0001341	2	1
OG0001342	3	3
OG0001343	1	0
OG0001344	2	1
OG0001345	1	0
OG0001346	4	3
OG0001347	4	3
OG0001348	1	1
OG0001349	1	0
OG0001350	4	4
OG0001351	4	4
OG0001352	4	4
OG0001353	4	0
OG0001354	4	3
OG0001355	3	1
OG0001356	3	2
OG0001357	1	1
OG0001358	3	2
OG0001359	2	1
OG0001360	3	2
OG0001361	1	1
OG0001362	1	0
OG0001363	4	3
OG0001364	2	1
OG0001365	3	2
OG0001366	4	4
OG0001367	4	3
OG0001368	4	1
OG0001369	5	4
OG0001370	4	3
OG0001371	4	1
OG0001372	3	1
OG0001373	2	1
OG0001374	3	0
OG0001375	4	3
OG0001376	4	1
OG0001377	2	2
OG0001378	4	3
OG0001379	4	4
OG0001380	3	2
OG0001381	1	1
OG0001382	3	1
OG0001383	1	1
OG0001384	6	5
OG0001385	4	2
OG0001386	1	1
